name	pronounciation	frequency	similarWords	meaningShort	meaningLong	meaningOther	soundUrl	exampleSoundUrl
tunnel	3029	2964	0	0	0	0	0	
fitness	0	2965	0	0	0	0	0	
lap	2377	2966	0	0	0	0	0	
grave	2225	2967	0	0	0	0	0	
toe	5843	2968	0	0	0	0	0	
container	3708	2969	0	0	0	0	0	
virtue	6013	2970	0	0	0	0	0	
abroad	1617	2971	0	0	0	0	0	
architect	3245	2972	0	0	0	0	0	
dramatically	0	2973	0	0	0	0	0	
makeup	0	2974	0	0	0	0	0	
inquiry	2312	2975	0	0	0	0	0	
rose	2786	2976	0	0	0	0	0	
surprisingly	0	2977	0	0	0	0	0	
highlight	2253	2978	0	0	0	0	0	
decrease	3822	2979	0	0	0	0	0	
indication	2299	2980	0	0	0	0	0	
rail	2704	2981	0	0	0	0	0	
anniversary	1678	2982	0	0	0	0	0	
couch	3748	2983	0	0	0	0	0	
alliance	1662	2984	0	0	0	0	0	
hypothesis	9101	2985	0	0	0	0	0	
boyfriend	3415	2986	0	0	0	0	0	
compose	3650	2987	0	0	0	0	0	
peer	2583	2157	0	0	0	0	0	
mess	2454	2988	0	0	0	0	0	
rank	2707	2349	0	0	0	0	0	
legend	4685	2989	0	0	0	0	0	
regulate	5323	2990	0	0	0	0	0	
adolescent	3172	2991	0	0	0	0	0	
shine	5523	2992	0	0	0	0	0	
norm	4933	2993	0	0	0	0	0	
upset	3056	2994	0	0	0	0	0	
remark	2744	2995	0	0	0	0	0	
resign	2755	2996	0	0	0	0	0	
reward	2773	2997	0	0	0	0	0	
gentle	2205	2998	0	0	0	0	0	
related	2735	2999	0	0	0	0	0	
organ	4980	3000	0	0	0	0	0	
lightly	0	3001	0	0	0	0	0	
concerning	3665	3002	0	0	0	0	0	
invent	4605	3003	0	0	0	0	0	
laughter	2380	3004	0	0	0	0	0	
fit	0	1219	0	0	0	0	0	
northwest	0	3005	0	0	0	0	0	
counseling	0	3006	0	0	0	0	0	
tight	2992	2428	0	0	0	0	0	
receiver	5298	3007	0	0	0	0	0	
ritual	5407	3008	0	0	0	0	0	
insect	4562	3009	0	0	0	0	0	
interrupt	4596	3010	0	0	0	0	0	
salmon	5442	3011	0	0	0	0	0	
favor	0	2220	0	0	0	0	0	
trading	0	3012	0	0	0	0	0	
concern	109	653	0	0	0	0	0	
magic	2422	3013	0	0	0	0	0	
superior	2939	3014	0	0	0	0	0	
combat	1882	3015	0	0	0	0	0	
stem	2908	3016	0	0	0	0	0	
surgeon	5741	3017	0	0	0	0	0	
acceptable	1621	3018	0	0	0	0	0	
physics	5102	3019	0	0	0	0	0	
rape	2708	3020	0	0	0	0	0	
counsel	1960	3021	0	0	0	0	0	
jeans	4630	3022	0	0	0	0	0	
hunt	2273	3023	0	0	0	0	0	
continuous	3718	3024	0	0	0	0	0	
log	4739	3025	0	0	0	0	0	
echo	2061	3026	0	0	0	0	0	
pill	2608	3027	0	0	0	0	0	
excited	4125	3028	0	0	0	0	0	
sculpture	5481	3029	0	0	0	0	0	
compound	3655	3030	0	0	0	0	0	
integrate	2319	3031	0	0	0	0	0	
flour	4211	3032	0	0	0	0	0	
bitter	1770	3033	0	0	0	0	0	
bare	1732	3034	0	0	0	0	0	
slope	5577	3035	0	0	0	0	0	
rent	2749	3036	0	0	0	0	0	
presidency	2658	3037	0	0	0	0	0	
serving	11697	3038	0	0	0	0	0	
subtle	5710	3039	0	0	0	0	0	
greatly	4362	3040	0	0	0	0	0	
bishop	0	3041	0	0	0	0	0	
drinking	0	3042	0	0	0	0	0	
delay	844	2742	0	0	0	0	0	
cry	820	1220	0	0	0	0	0	
acceptance	3139	3043	0	0	0	0	0	
shop	1414	1209	0	0	0	0	0	
pump	2692	3044	0	0	0	0	0	
candy	6953	3045	0	0	0	0	0	
evil	2113	3046	0	0	0	0	0	
final	187	804	0	0	0	0	0	
finance	980	2486	0	0	0	0	0	
pleased	2621	3047	0	0	0	0	0	
medal	2445	3048	0	0	0	0	0	
beg	3346	3049	0	0	0	0	0	
sponsor	2895	3050	0	0	0	0	0	
ethical	4106	3051	0	0	0	0	0	
secondary	5483	3052	0	0	0	0	0	
slam	5568	3053	0	0	0	0	0	
export	946	3054	0	0	0	0	0	
experimental	4140	3055	0	0	0	0	0	
melt	4814	3056	0	0	0	0	0	
midnight	2458	3057	0	0	0	0	0	
net	0	2547	0	0	0	0	0	
curve	3792	3058	0	0	0	0	0	
integrity	4583	3059	0	0	0	0	0	
entitle	2100	3060	0	0	0	0	0	
evident	4112	3061	0	0	0	0	0	
logic	4740	3062	0	0	0	0	0	
essence	4101	3063	0	0	0	0	0	
park	1225	1108	0	0	0	0	0	
exclude	4127	3064	0	0	0	0	0	
harsh	4410	3065	0	0	0	0	0	
closet	7197	3066	0	0	0	0	0	
suburban	5712	3067	0	0	0	0	0	
greet	4364	3068	0	0	0	0	0	
interior	2327	3069	0	0	0	0	0	
corridor	3741	3070	0	0	0	0	0	
murder	1171	1246	0	0	0	0	0	
retail	2764	3071	0	0	0	0	0	
pitcher	10697	3072	0	0	0	0	0	
march	2430	3073	0	0	0	0	0	
snake	5583	3074	0	0	0	0	0	
pitch	2613	2791	0	0	0	0	0	
excuse	2120	3075	0	0	0	0	0	
cross	0	1255	0	0	0	0	0	
weakness	6042	3076	0	0	0	0	0	
pig	5107	3077	0	0	0	0	0	
cold	770	803	0	0	0	0	0	
classical	1863	3078	0	0	0	0	0	
estimated	0	3079	0	0	0	0	0	
online	0	2009	0	0	0	0	0	
unemployment	3041	3080	0	0	0	0	0	
civilization	3573	3081	0	0	0	0	0	
fold	2172	3082	0	0	0	0	0	
patient	1230	524	0	0	0	0	0	
pop	2638	2262	0	0	0	0	0	
daily	823	1335	0	0	0	0	0	
reverse	2770	3083	0	0	0	0	0	
missing	2468	3084	0	0	0	0	0	
correlation	7445	3085	0	0	0	0	0	
humanity	4481	3086	0	0	0	0	0	
flash	2165	3087	0	0	0	0	0	
developer	3880	3088	0	0	0	0	0	
reliable	2739	3089	0	0	0	0	0	
excitement	4126	3090	0	0	0	0	0	
beef	3345	3091	0	0	0	0	0	
Islam	2338	3092	0	0	0	0	0	
Roman	2781	3093	0	0	0	0	0	
stretch	2917	1712	0	0	0	0	0	
architecture	3247	3094	0	0	0	0	0	
occasional	2527	3095	0	0	0	0	0	
administrative	3166	3096	0	0	0	0	0	
elbow	4038	3097	0	0	0	0	0	
deadly	3813	3098	0	0	0	0	0	
Muslim	1173	2299	0	0	0	0	0	
Hispanic	4451	3099	0	0	0	0	0	
allegation	1661	3100	0	0	0	0	0	
tip	2995	1722	0	0	0	0	0	
confuse	3676	3101	0	0	0	0	0	
airplane	3193	3102	0	0	0	0	0	
monthly	2478	3103	0	0	0	0	0	
duck	4014	3104	0	0	0	0	0	
dose	3991	3105	0	0	0	0	0	
Korean	2369	3106	0	0	0	0	0	
plead	5129	3107	0	0	0	0	0	
initiate	4547	3108	0	0	0	0	0	
lecture	2388	3109	0	0	0	0	0	
van	3063	3110	0	0	0	0	0	
sixth	1426	3111	0	0	0	0	0	
bay	1743	3112	0	0	0	0	0	
mainstream	4773	3113	0	0	0	0	0	
suburb	5711	3114	0	0	0	0	0	
sandwich	5448	3115	0	0	0	0	0	
unlike	3053	2193	0	0	0	0	0	
trunk	5895	3116	0	0	0	0	0	
rumor	0	3117	0	0	0	0	0	
implementation	0	3118	0	0	0	0	0	
swallow	5748	3119	0	0	0	0	0	
motivate	2486	3120	0	0	0	0	0	
render	5344	3121	0	0	0	0	0	
longtime	0	3122	0	0	0	0	0	
trap	3016	3123	0	0	0	0	0	
restrict	5377	3124	0	0	0	0	0	
cloth	3595	3125	0	0	0	0	0	
seemingly	5488	3126	0	0	0	0	0	
legislative	4687	3127	0	0	0	0	0	
effectiveness	0	3128	0	0	0	0	0	
enforce	4071	3129	0	0	0	0	0	
lens	2392	3130	0	0	0	0	0	
reach	425	388	0	0	0	0	0	
inspector	2314	3131	0	0	0	0	0	
lend	2391	3132	0	0	0	0	0	
plain	2614	3133	0	0	0	0	0	
fraud	2185	3134	0	0	0	0	0	
companion	3634	3135	0	0	0	0	0	
contend	3712	3136	0	0	0	0	0	
nail	4897	3137	0	0	0	0	0	
array	3254	3138	0	0	0	0	0	
strict	2918	3139	0	0	0	0	0	
assemble	3268	3140	0	0	0	0	0	
frankly	4256	3141	0	0	0	0	0	
rat	5282	3142	0	0	0	0	0	
burst	1803	3143	0	0	0	0	0	
hallway	8861	3144	0	0	0	0	0	
cave	1831	3145	0	0	0	0	0	
inevitable	2301	3146	0	0	0	0	0	
southwest	0	3147	0	0	0	0	0	
monster	4865	3148	0	0	0	0	0	
speed	1450	1254	0	0	0	0	0	
protest	1293	2506	0	0	0	0	0	
unexpected	3042	3149	0	0	0	0	0	
obstacle	4959	3150	0	0	0	0	0	
facilitate	8315	3151	0	0	0	0	0	
encounter	2088	2404	0	0	0	0	0	
rip	5403	3152	0	0	0	0	0	
herb	4435	3153	0	0	0	0	0	
overwhelming	2558	3154	0	0	0	0	0	
integration	0	3155	0	0	0	0	0	
crystal	1978	3156	0	0	0	0	0	
recession	1318	3157	0	0	0	0	0	
wish	1601	952	0	0	0	0	0	
top	546	620	0	0	0	0	0	
written	3117	3158	0	0	0	0	0	
motive	4875	3159	0	0	0	0	0	
label	2371	2323	0	0	0	0	0	
flood	2171	3160	0	0	0	0	0	
pen	2585	3161	0	0	0	0	0	
ownership	2560	3162	0	0	0	0	0	
nightmare	2512	3163	0	0	0	0	0	
notice	1196	941	0	0	0	0	0	
inspection	0	3164	0	0	0	0	0	
supervisor	5734	3165	0	0	0	0	0	
consult	1932	3166	0	0	0	0	0	
arena	3249	3167	0	0	0	0	0	
laugh	284	788	0	0	0	0	0	
diagnosis	3888	3168	0	0	0	0	0	
possession	5151	3169	0	0	0	0	0	
forgive	4229	3170	0	0	0	0	0	
warm	1580	1225	0	0	0	0	0	
consistently	0	3171	0	0	0	0	0	
basement	3328	3172	0	0	0	0	0	
project	1284	489	0	0	0	0	0	
drift	2051	3173	0	0	0	0	0	
drain	2048	3174	0	0	0	0	0	
last	281	120	0	0	0	0	0	
prosecution	2680	3175	0	0	0	0	0	
maximum	2439	3176	0	0	0	0	0	
announcement	1679	3177	0	0	0	0	0	
warrior	6038	3178	0	0	0	0	0	
prediction	5175	3179	0	0	0	0	0	
bacteria	3309	3180	0	0	0	0	0	
questionnaire	11058	3181	0	0	0	0	0	
mud	4882	3182	0	0	0	0	0	
infrastructure	4542	3183	0	0	0	0	0	
hurry	4490	3184	0	0	0	0	0	
privilege	5200	3185	0	0	0	0	0	
temple	2974	3186	0	0	0	0	0	
outdoor	4991	3187	0	0	0	0	0	
suck	5716	3188	0	0	0	0	0	
broadcast	1795	3189	0	0	0	0	0	
re	0	3190	0	0	0	0	0	
leap	2385	3191	0	0	0	0	0	
random	5278	3192	0	0	0	0	0	
past	384	622	0	0	0	0	0	
wrist	6092	3193	0	0	0	0	0	
curtain	1985	3194	0	0	0	0	0	
monitor	2477	2088	0	0	0	0	0	
pond	5140	3195	0	0	0	0	0	
domain	7933	3196	0	0	0	0	0	
guilt	4380	3197	0	0	0	0	0	
cattle	3513	3198	0	0	0	0	0	
subject	1480	611	0	0	0	0	0	
walking	12961	3199	0	0	0	0	0	
playoff	0	3200	0	0	0	0	0	
minimum	2464	3201	0	0	0	0	0	
fiscal	2160	3202	0	0	0	0	0	
skirt	5566	3203	0	0	0	0	0	
dump	2053	3204	0	0	0	0	0	
hence	4433	3205	0	0	0	0	0	
database	7616	3206	0	0	0	0	0	
uncomfortable	5919	3207	0	0	0	0	0	
aim	640	1724	0	0	0	0	0	
execute	2121	3208	0	0	0	0	0	
limb	4715	3209	0	0	0	0	0	
ideology	4500	3210	0	0	0	0	0	
average	683	1173	0	0	0	0	0	
welcome	1590	1391	0	0	0	0	0	
tune	3027	3211	0	0	0	0	0	
continuing	0	3212	0	0	0	0	0	
harm	2237	3213	0	0	0	0	0	
railroad	11089	3214	0	0	0	0	0	
endure	4069	3215	0	0	0	0	0	
radiation	5273	3216	0	0	0	0	0	
horn	4467	3217	0	0	0	0	0	
chronic	3564	3218	0	0	0	0	0	
peaceful	2581	3219	0	0	0	0	0	
innovation	4558	3220	0	0	0	0	0	
strain	2913	3221	0	0	0	0	0	
guitar	2231	3222	0	0	0	0	0	
replacement	2751	3223	0	0	0	0	0	
behave	1754	3224	0	0	0	0	0	
administer	3165	3225	0	0	0	0	0	
simultaneously	0	3226	0	0	0	0	0	
dancer	3806	3227	0	0	0	0	0	
amendment	1671	3228	0	0	0	0	0	
guard	1026	1160	0	0	0	0	0	
pad	5022	3229	0	0	0	0	0	
transmission	5869	3230	0	0	0	0	0	
await	1721	3231	0	0	0	0	0	
retired	5382	3232	0	0	0	0	0	
trigger	3022	3233	0	0	0	0	0	
spill	5628	3234	0	0	0	0	0	
grateful	4358	3235	0	0	0	0	0	
grace	4347	3236	0	0	0	0	0	
virtual	6012	3237	0	0	0	0	0	
response	1354	660	0	0	0	0	0	
colony	3617	3238	0	0	0	0	0	
adoption	0	3239	0	0	0	0	0	
slide	2858	1940	0	0	0	0	0	
indigenous	9245	3240	0	0	0	0	0	
closed	3593	3241	0	0	0	0	0	
convict	1947	3242	0	0	0	0	0	
towel	5859	3243	0	0	0	0	0	
modify	4855	3244	0	0	0	0	0	
particle	5044	3245	0	0	0	0	0	
award	685	2282	0	0	0	0	0	
glance	2214	2150	0	0	0	0	0	
prize	1276	3246	0	0	0	0	0	
landing	4668	3247	0	0	0	0	0	
conduct	787	1050	0	0	0	0	0	
blue	66	773	0	0	0	0	0	
boost	1778	3248	0	0	0	0	0	
bat	1740	3249	0	0	0	0	0	
alarm	1655	3250	0	0	0	0	0	
festival	972	3251	0	0	0	0	0	
grip	2227	3252	0	0	0	0	0	
weird	6051	3253	0	0	0	0	0	
undermine	3039	3254	0	0	0	0	0	
freshman	8581	3255	0	0	0	0	0	
sweat	5753	3256	0	0	0	0	0	
outer	4992	3257	0	0	0	0	0	
European	929	1138	0	0	0	0	0	
drunk	4010	3258	0	0	0	0	0	
survey	1498	1120	0	0	0	0	0	
research	438	332	0	0	0	0	0	
separation	5499	3259	0	0	0	0	0	
traditionally	0	3260	0	0	0	0	0	
stuff	1478	898	0	0	0	0	0	
govern	2218	3261	0	0	0	0	0	
southeast	0	3262	0	0	0	0	0	
intelligent	2322	3263	0	0	0	0	0	
wherever	6058	3264	0	0	0	0	0	
ballot	1727	3265	0	0	0	0	0	
rhetoric	5393	3266	0	0	0	0	0	
convinced	1950	3267	0	0	0	0	0	
driving	7991	3268	0	0	0	0	0	
vitamin	3083	3269	0	0	0	0	0	
enthusiasm	2098	3270	0	0	0	0	0	
accommodate	3144	3271	0	0	0	0	0	
praise	2649	3272	0	0	0	0	0	
injure	9323	3273	0	0	0	0	0	
wilderness	6070	3274	0	0	0	0	0	
nearby	2501	2156	0	0	0	0	0	
endless	4066	3275	0	0	0	0	0	
mandate	4777	3276	0	0	0	0	0	
pause	2580	2456	0	0	0	0	0	
respectively	5372	3277	0	0	0	0	0	
uncertainty	5916	3278	0	0	0	0	0	
chaos	1840	3279	0	0	0	0	0	
short	0	572	0	0	0	0	0	
mechanical	4807	3280	0	0	0	0	0	
canvas	3485	3281	0	0	0	0	0	
forty	202	3282	0	0	0	0	0	
matter	310	484	0	0	0	0	0	
lobby	2408	3283	0	0	0	0	0	
profound	5211	3284	0	0	0	0	0	
format	4231	3285	0	0	0	0	0	
trait	12494	3286	0	0	0	0	0	
currency	1984	3287	0	0	0	0	0	
turkey	12584	3288	0	0	0	0	0	
reserve	1348	3289	0	0	0	0	0	
beam	3341	3290	0	0	0	0	0	
abuse	617	1384	0	0	0	0	0	
astronomer	3277	3291	0	0	0	0	0	
corruption	1956	3292	0	0	0	0	0	
contractor	3719	3293	0	0	0	0	0	
apologize	3230	3294	0	0	0	0	0	
doctrine	3978	3295	0	0	0	0	0	
genuine	2207	3296	0	0	0	0	0	
thumb	5829	3297	0	0	0	0	0	
unity	3050	3298	0	0	0	0	0	
compromise	1905	3299	0	0	0	0	0	
horrible	4468	3300	0	0	0	0	0	
behavioral	0	3301	0	0	0	0	0	
exclusive	4129	3302	0	0	0	0	0	
scatter	5462	3303	0	0	0	0	0	
commonly	0	3304	0	0	0	0	0	
convey	3728	3305	0	0	0	0	0	
rush	2796	1748	0	0	0	0	0	
twist	3032	3306	0	0	0	0	0	
complexity	3646	3307	0	0	0	0	0	
fork	4230	3308	0	0	0	0	0	
disk	7860	3309	0	0	0	0	0	
relieve	5335	3310	0	0	0	0	0	
suspicion	2948	3311	0	0	0	0	0	
lock	2410	1981	0	0	0	0	0	
finish	982	828	0	0	0	0	0	
residence	5366	3312	0	0	0	0	0	
shame	2830	3313	0	0	0	0	0	
meaningful	4802	3314	0	0	0	0	0	
sidewalk	11791	3315	0	0	0	0	0	
Olympics	0	3316	0	0	0	0	0	
technological	5784	3317	0	0	0	0	0	
signature	5544	3318	0	0	0	0	0	
pleasant	2620	3319	0	0	0	0	0	
wow	13099	3320	0	0	0	0	0	
suspend	2947	3321	0	0	0	0	0	
rebel	1315	3322	0	0	0	0	0	
frozen	4272	3323	0	0	0	0	0	
desire	852	1396	0	0	0	0	0	
spouse	5641	3324	0	0	0	0	0	
fluid	4213	3325	0	0	0	0	0	
pension	2588	3326	0	0	0	0	0	
resume	2763	3327	0	0	0	0	0	
theoretical	5813	3328	0	0	0	0	0	
sodium	5595	3329	0	0	0	0	0	
blow	0	1277	0	0	0	0	0	
promotion	2674	3330	0	0	0	0	0	
delicate	3842	3331	0	0	0	0	0	
forehead	4225	3332	0	0	0	0	0	
rebuild	5296	3333	0	0	0	0	0	
bounce	3406	3334	0	0	0	0	0	
electrical	4041	3335	0	0	0	0	0	
hook	2268	3336	0	0	0	0	0	
detective	2025	3337	0	0	0	0	0	
traveler	0	3338	0	0	0	0	0	
click	3585	3339	0	0	0	0	0	
compensation	1897	3340	0	0	0	0	0	
signal	2848	1850	0	0	0	0	0	
exit	4134	3341	0	0	0	0	0	
attraction	3289	3342	0	0	0	0	0	
dedicate	3824	3343	0	0	0	0	0	
altogether	1666	3344	0	0	0	0	0	
pickup	0	3345	0	0	0	0	0	
carve	3503	3346	0	0	0	0	0	
needle	4909	3347	0	0	0	0	0	
belly	3348	3348	0	0	0	0	0	
ship	1411	1099	0	0	0	0	0	
scare	5460	3349	0	0	0	0	0	
portfolio	5147	3350	0	0	0	0	0	
shuttle	5539	3351	0	0	0	0	0	
invisible	4609	3352	0	0	0	0	0	
timing	5838	3353	0	0	0	0	0	
engagement	4074	3354	0	0	0	0	0	
ankle	3223	3355	0	0	0	0	0	
transaction	3013	3356	0	0	0	0	0	
rescue	2754	3357	0	0	0	0	0	
counterpart	1962	3358	0	0	0	0	0	
historically	0	3359	0	0	0	0	0	
firmly	0	3360	0	0	0	0	0	
mild	2459	3361	0	0	0	0	0	
rider	2777	3362	0	0	0	0	0	
doll	3982	3363	0	0	0	0	0	
noon	4932	3364	0	0	0	0	0	
amid	1672	3365	0	0	0	0	0	
identical	4497	3366	0	0	0	0	0	
precise	5171	3367	0	0	0	0	0	
anxious	1682	3368	0	0	0	0	0	
structural	5694	3369	0	0	0	0	0	
residential	5367	3370	0	0	0	0	0	
loud	2413	2734	0	0	0	0	0	
diagnose	3887	3371	0	0	0	0	0	
carbohydrate	3492	3372	0	0	0	0	0	
liberty	2397	3373	0	0	0	0	0	
poster	5154	3374	0	0	0	0	0	
theology	12387	3375	0	0	0	0	0	
nonprofit	0	3376	0	0	0	0	0	
crawl	3761	3377	0	0	0	0	0	
oxygen	5015	3378	0	0	0	0	0	
handsome	4398	3379	0	0	0	0	0	
sum	2936	3380	0	0	0	0	0	
provided	5236	3381	0	0	0	0	0	
businessman	1806	3382	0	0	0	0	0	
promising	5217	3383	0	0	0	0	0	
conscious	1922	3384	0	0	0	0	0	
determination	3876	3385	0	0	0	0	0	
donor	3988	3386	0	0	0	0	0	
hers	4441	3387	0	0	0	0	0	
pastor	10531	3388	0	0	0	0	0	
jazz	2345	3389	0	0	0	0	0	
opera	2536	3390	0	0	0	0	0	
Japanese	2344	1547	0	0	0	0	0	
bite	64	2787	0	0	0	0	0	
frame	2184	1647	0	0	0	0	0	
acquisition	1630	3391	0	0	0	0	0	
pit	2612	3392	0	0	0	0	0	
hug	4476	3393	0	0	0	0	0	
wildlife	6071	3394	0	0	0	0	0	
punish	5248	3395	0	0	0	0	0	
giant	2210	2256	0	0	0	0	0	
primary	2663	1354	0	0	0	0	0	
equity	2103	3396	0	0	0	0	0	
wrong	1610	597	0	0	0	0	0	
doorway	3990	3397	0	0	0	0	0	
departure	2014	3398	0	0	0	0	0	
elevator	8085	3399	0	0	0	0	0	
teenage	5786	3400	0	0	0	0	0	
guidance	4377	3401	0	0	0	0	0	
happiness	0	3402	0	0	0	0	0	
statue	5664	3403	0	0	0	0	0	
pursuit	5253	3404	0	0	0	0	0	
repair	2750	3405	0	0	0	0	0	
