name	pronounciation	pronounciationAm	frequency	similarWords	meaningShort	meaningLong	meaningOther	soundUrl	exampleSoundUrl	viewTime	viewInterval	easiness	TotalViewed	StartTime
go	[ɡəʊ]		32		To go is to proceed or move from one place to another. When you see a green traffic light, what do you do? You go! That's what you do.					0	-2147483648	-2147483648	-2147483648	0
their	[ðeə(r)]		33	 there theirs heir						0	-2147483648	-2147483648	-2147483648	0
can	[kæn]		34	 scan cane clan	A can is a metal container, usually cylindrical in shape, which has an airtight seal when it's new. All kinds of goods come in cans, from fruit and vegetables to paint and oil.					0	-2147483648	-2147483648	-2147483648	0
who	[huː]		35	 how whom whoa						0	-2147483648	-2147483648	-2147483648	0
get	[ɡet]		36		Get is one of those little words with a hundred applications. A common meaning is fetch, as in, go get a dictionary off the shelf.					0	-2147483648	-2147483648	-2147483648	0
April			36							0	-2147483648	-2147483648	-2147483648	0
if	[ɪf]		37							0	-2147483648	-2147483648	-2147483648	0
would	[wʊd]		38	 wood could world wound mould						0	-2147483648	-2147483648	-2147483648	0
her	[hə(r)]		39	 here hear hero herb hers herd heir						0	-2147483648	-2147483648	-2147483648	0
all	[ɔːl]		40	 call fall wall ball tall hall ally mall	When you say “I wouldn't do it for all the tea in China!” you are talking about every single leaf of tea in the entire country of China. That's a lot of tea.					0	-2147483648	-2147483648	-2147483648	0
my	[maɪ]		41							0	-2147483648	-2147483648	-2147483648	0
make	[meɪk]		42	 maker take male wake lake cake bake sake mate fake made maze rake mike	"If you offer to sell me your car, I might ask you, ""What make is it?"" Then you tell me what brand, year and model it is, because in this case make means ""type made."""					0	-2147483648	-2147483648	-2147483648	0
about	[ə'baʊt]		43	 bout	"The adverb about, when used with a quantity, means approximately or roughly. If a teenager wants to have a couple of friends over, his mom might ask about how many ""a couple"" is — in his mind it may be about 50."					0	-2147483648	-2147483648	-2147483648	0
know	[nəʊ]		44	 no known now snow knot knob	To know something means to have a piece of information or a certain understanding of something. If someone tells you their phone number and you remember it, you know.					0	-2147483648	-2147483648	-2147483648	0
will	[wɪl]		45	 well kill wall fill bill wild hill ill pill mill till wilt	Will means to want or to choose. If you have free will, you are allowed to choose what you want. If you make a will, you've write down what you want to have happen to your money and your stuff.					0	-2147483648	-2147483648	-2147483648	0
August			45							0	-2147483648	-2147483648	-2147483648	0
up	[ʌp]		46							0	-2147483648	-2147483648	-2147483648	0
one	[wʌn]		47	 once none gone bone zone tone done lone cone hone	One refers to a single person or thing, as well as the number one. If you’re looking for a whole number between zero and two, you can only find one.					0	-2147483648	-2147483648	-2147483648	0
time	[taɪm]		48	 thyme item emit tie tire tide tile lime dime	Time is the movement from past to present to future. You can tell time with a clock, and it takes time to do anything.					0	-2147483648	-2147483648	-2147483648	0
there	[ðeə(r)]		49	 their three these here where theme thee theatre thereby	"There is a noun meaning ""another place."" So if you're not here, you can only be there."					0	-2147483648	-2147483648	-2147483648	0
year	[jɪə(r)]		50	 yearn hear yeah wear near fear ear bear tear gear dear rear pear						0	-2147483648	-2147483648	-2147483648	0
so	[səʊ]		51	 sew						0	-2147483648	-2147483648	-2147483648	0
based			51	 base baked						0	-2147483648	-2147483648	-2147483648	0
think	[θɪŋk]		52	 thing thank thin thick thinker rethink	To think is to have an idea, belief, or thought about something. If you think that your parents are unusually strict, it means that you believe that to be true.					0	-2147483648	-2147483648	-2147483648	0
when	[wen]		53	 then hen						0	-2147483648	-2147483648	-2147483648	0
which	[wɪtʃ]		54	 witch						0	-2147483648	-2147483648	-2147483648	0
them	[ðəm]		55	 theme the they then thee						0	-2147483648	-2147483648	-2147483648	0
some	[səm]		56	 come same home sole dome sore	The word some keeps it vague. When you have some time to kill, you've got an unspecified amount of time — it could be five minutes or five hours.					0	-2147483648	-2147483648	-2147483648	0
me	[mi:]		57	 em						0	-2147483648	-2147483648	-2147483648	0
people	['piːpl]		58		Human beings are people. Individuals, folks, humankind — we're all people.					0	-2147483648	-2147483648	-2147483648	0
take	[teɪk]		59	 stake make tape wake lake tale cake bake sake fake rake	Take means to gain possession of or lay hold of something. You can take an apple from a bowl or take a child's hand to cross the street.					0	-2147483648	-2147483648	-2147483648	0
out	[aʊt]		60	 bout tout oust						0	-2147483648	-2147483648	-2147483648	0
into	['ɪntə]		61	 onto unto						0	-2147483648	-2147483648	-2147483648	0
just	[dʒʌst]		62	 must dust bust lust oust gust rust	"Just means ""fair."" When something is morally and ethically sound, it's just. If you are a just teacher, you won't give your student an F just because his mother is rude to you."					0	-2147483648	-2147483648	-2147483648	0
see	[siː]		63	 sea seem seek seed seep	See is what your eyes do. However, this word has loads of meanings: you can see a shrink, which means you're consulting a psychiatrist; or you can be seeing your high school sweetheart, which means you're dating him.					0	-2147483648	-2147483648	-2147483648	0
him	[hɪm]		64	 hymn whim						0	-2147483648	-2147483648	-2147483648	0
your	[jɔː(r)]		65	 yours you our four hour tour pour sour						0	-2147483648	-2147483648	-2147483648	0
come	[kʌm]		66	 comet comer some home code core cope dome cone comb coma	You can come to the end of the road, come to a conclusion, or invite friends to come to your party. Come generally means to move along purposefully toward something.					0	-2147483648	-2147483648	-2147483648	0
could	[kəd]		67	 cloud would cold mould						0	-2147483648	-2147483648	-2147483648	0
now	[naʊ]		68	 own know snow	"Think of now as being the immediate present, the moment you are currently in. It’s part of the elusive concept of time, and each now, as it passes, becomes ""then"" even as it is replaced by a new now."					0	-2147483648	-2147483648	-2147483648	0
than	[ðən]		69	 thank that then thin Thai tan thaw						0	-2147483648	-2147483648	-2147483648	0
like	[laɪk]		70	 alike liken life live line lie bike lake hike lime mike	If you like your new shoes, you are glad you bought them. If you are like your mother, you are similar to her in more ways than you probably want to admit.					0	-2147483648	-2147483648	-2147483648	0
other	['ʌðə(r)]		71	 others mother bother another brother						0	-2147483648	-2147483648	-2147483648	0
how	[haʊ]		72	 who show howl						0	-2147483648	-2147483648	-2147483648	0
then	[ðen]		73	 the they when them than ten thin teen hen thee	Then is a word that puts things in order by time, or refers to a moment in time: you get up; then you have breakfast. You're married now; back then, you were single.					0	-2147483648	-2147483648	-2147483648	0
its	[ɪts]		74	 sit						0	-2147483648	-2147483648	-2147483648	0
our	['aʊə(r)		75	 your four hour tour pour ours sour						0	-2147483648	-2147483648	-2147483648	0
two	[tuː]		76	 too tow	Two is a whole number that's greater than one, but less than three. If you found one fuzzy mitten and then your friend gave you another one, you would have two mittens — perfect for your two hands.					0	-2147483648	-2147483648	-2147483648	0
more	[mɔː(r)]		77	 move core mode mere bore gore sore mole	"When you want more of something, you don't have enough. This is a comparative word that has to do with addition. It's also the opposite of ""less."""					0	-2147483648	-2147483648	-2147483648	0
these	[ðiːz]		78	 sheet there those theme thee						0	-2147483648	-2147483648	-2147483648	0
want	[wɒnt]		79	 wait pant ant wan wane	In all its forms, want has to do with the lack of having and the desire to have. You can want or desire something you’d like, or you can be in want of something you need.					0	-2147483648	-2147483648	-2147483648	0
way	[weɪ]		80	 weigh away sway wary	"The means by which you go about doing something is the way you do it. Although you ""cleaned"" your room, the way you did it — shoving everything into your closet — didn't exactly solve the problem."					0	-2147483648	-2147483648	-2147483648	0
look	[lʊk]		81	 book cook lock hook loop loom	When you look, you focus your vision on someone or something. If you get to the movie late, you'll have to look for your friends in the darkened theater.					0	-2147483648	-2147483648	-2147483648	0
first	[fɜːst]		82	 fist firstly	First is number one, prior to, or before. First comes first, then comes everything else. It's always good to be first in line or in first class. Who wants to be second? Or worse — last?					0	-2147483648	-2147483648	-2147483648	0
also	['ɔːlsəʊ]		83		"Also is a word that means about the same thing as ""in addition"" or ""too."""					0	-2147483648	-2147483648	-2147483648	0
new	[njuː]		84	 news anew	If something's new, it has never been seen or discovered or invented before. Anything can be new: a country, an idea, a product. If you spend half an hour watching TV, you'll see an incredible selection of new items being advertised.					0	-2147483648	-2147483648	-2147483648	0
because	[bɪ'kɒz]		85	 cause						0	-2147483648	-2147483648	-2147483648	0
day	[deɪ]		86		A day is a 24-hour period, or the length of time it takes the Earth to rotate fully on its axis. There are 365 days in a year, and 31 days in the month of January.					0	-2147483648	-2147483648	-2147483648	0
use	[juːs]		87	 sue user used muse fuse	Say the daughter of your favorite musician just enrolled at your school. If you just use her to get to meet her rock star dad, that's pretty unkind.					0	-2147483648	-2147483648	-2147483648	0
no	[nəʊ]		88	 know on						0	-2147483648	-2147483648	-2147483648	0
man	[mæn]		89	 many mean main moan	A man is a boy who grew up: an adult male. Man has hundreds of other meanings too, most of them guy-related.					0	-2147483648	-2147483648	-2147483648	0
centre			89	 centred center recent central						0	-2147483648	-2147483648	-2147483648	0
find	[faɪnd]		90	 kind mind fine fund wind bind fond fin fend Finn	To find something means to discover it. When you're strolling through a green field, you might try to find a four-leaf clover.					0	-2147483648	-2147483648	-2147483648	0
here	[hɪə(r)]		91	 hear there where her hire hero mere herb hers herd	Here is the opposite of there. There is another place, but here is where you are right now.					0	-2147483648	-2147483648	-2147483648	0
thing	[θɪŋ]		92	 night think thin nothing	"Use the noun thing to refer to something without naming it specifically. You might describe your sister's bizarre outfit by saying, ""She was wearing this puffy orange thing around her waist and a tall, feathered thing on her head."""					0	-2147483648	-2147483648	-2147483648	0
give	[ɡɪv]		93	 given live five dive	When you give something, you hand over possession to someone else. Give can also be a noun; a material that has give has the ability to stretch.					0	-2147483648	-2147483648	-2147483648	0
many	['meni]		94	 man any May	"If you have a great number of refrigerator magnets, you have many of them. Many means ""a lot of items."""					0	-2147483648	-2147483648	-2147483648	0
well	[wel]		95	 swell dwell will tell sell wall cell hell yell bell	"When you do something well, you do it in a good or satisfactory way. You can say, ""I did really well on my French test,"" or ""Finally, I slept well last night."""					0	-2147483648	-2147483648	-2147483648	0
only	['əʊnli]		96							0	-2147483648	-2147483648	-2147483648	0
those	[ðəʊz]		97	 these whose hose						0	-2147483648	-2147483648	-2147483648	0
tell	[tel]		98	 well sell cell hell tall yell bell toll till						0	-2147483648	-2147483648	-2147483648	0
very	['veri]		99	 every vary verb	The word very is an intensifier, suggesting a high degree of a quality. Something great is very good.					0	-2147483648	-2147483648	-2147483648	0
even	['iːvn]		100	 event seven ever oven eve	Even means level and flat. When you're planning to build one of your famously elaborate sandcastles on the beach, you probably make sure the sand is even before you start.					0	-2147483648	-2147483648	-2147483648	0
back	[bæk]		101	 black bank lack pack buck rack sack bark hack jack tack balk	Your back is your spine, or the rear part of your whole body. When you lie on the grass on your back, you can watch the clouds in the sky above you.					0	-2147483648	-2147483648	-2147483648	0
colour			101	 color coloured contour						0	-2147483648	-2147483648	-2147483648	0
any	['eni]		102	 many	"Use the word any when you're talking about every possible quantity of something — whether it's one, a few, or many. You might ask an ice cream truck driver, ""Do you have any ice cream sandwiches?"""					0	-2147483648	-2147483648	-2147483648	0
good	[ɡʊd]		103	 goods goody food god wood gold mood hood	We all know what good means as an adjective––pleasing, favorable, nice. But did you know that good is also a noun, meaning something that can be sold? This means a shopkeeper’s ideal is to have really good goods.					0	-2147483648	-2147483648	-2147483648	0
woman	['wʊmən]		104	 Roman	When a little girl grows up, she becomes a woman, otherwise known as an adult female.					0	-2147483648	-2147483648	-2147483648	0
through	[θruː]		105	 thorough though tough rough throughout	As an adjective, through means finished or done. As an adverb it can mean backward and forward, completely, up to and including, or all the way to the end. The preposition through means in and out of.					0	-2147483648	-2147483648	-2147483648	0
life	[laɪf]		107	 file like live line wife lie lift lime	Plants, animals, insects, bacteria, viruses, algae, mold and humans all have life: they grow, eat, make waste, change, and reproduce. Rocks and minerals, not doing any of these, do not have life.					0	-2147483648	-2147483648	-2147483648	0
child	[tʃaɪld]		108	 chill chili chile	A child is a young person who's typically older than a baby but younger than a teen. As a child, you probably had your parents watching over you as you played in a sandbox.					0	-2147483648	-2147483648	-2147483648	0
work	[wɜːk]		109	 works word fork pork worm worn	abc The word work has many shades of meaning, but most involve putting in an effort of some sort. You're not going to become an Olympic ice skater overnight. You'll need to do a serious amount of work to get there.	abc				0	-2147483648	-2147483648	-2147483648	0
down	[daʊn]		110	 drown own town dawn gown don	"The adverb down means ""from a higher place to a lower one,"" like when a person climbs down a ladder or a waiter puts a tray full of cakes down on a table."					0	-2147483648	-2147483648	-2147483648	0
after	['ɑːftə(r)]		112	 rafter alter	"After is a preposition meaning ""later in time"" or ""behind in space."" After many hours of dancing, you'll be sweaty and hungry."					0	-2147483648	-2147483648	-2147483648	0
should	[ʃəd]		113	 shoulder						0	-2147483648	-2147483648	-2147483648	0
call	[kɔːl]		114	 called all fall wall cell ball tall hall mall calm calf	When you call, you shout or cry out so that someone can hear you. You might call to a bicyclist who's veering dangerously into traffic.					0	-2147483648	-2147483648	-2147483648	0
world	[wɜːld]		115	 would word	"The noun world usually refers to the earth, including both the planet itself and the organisms that live on it. If you say, ""I want to get out and see the world,"" you want to go everywhere and see everything."					0	-2147483648	-2147483648	-2147483648	0
over	['əʊvə(r)]		116	 rove cover lover hover overt rover ever oven	If something is over it is finished, across, or above. When a movie is over, you get up and leave. A blanket that's over your feet covers your toes. A painting over a fireplace hangs above it.					0	-2147483648	-2147483648	-2147483648	0
school	[skuːl]		117		School is the place you go to learn, and the place you escape from when you play hooky. When you school someone, it means you’ve educated or put that person in his or her place.					0	-2147483648	-2147483648	-2147483648	0
still	[stɪl]		118	 skill spill till stall	If something is quiet and calm, it's still. After the noise of the city, it's peaceful to go camping in the woods where everything is still.					0	-2147483648	-2147483648	-2147483648	0
try	[traɪ]		119	 Tory tray	Try describes putting effort into something, like when you try to draw a horse, or take a sample of something, like when you try a new flavor of ice cream.					0	-2147483648	-2147483648	-2147483648	0
last	[lɑːst]		120	 salt least blast past east list fast vast cast lost lust lash lest	Something that's last comes at the very end, after any others of its kind. The last day of the year is December 31st.					0	-2147483648	-2147483648	-2147483648	0
ask	[ɑːsk]		121	 task mask	"To ask is to pose a question or request something. If you say ""What time is lunch?"", then you're asking a question."					0	-2147483648	-2147483648	-2147483648	0
need	[niːd]		122	 needy feed seed weed deed heed reed	A need is something essential: people need food, water, and shelter. When you lack them, you're in need.					0	-2147483648	-2147483648	-2147483648	0
too	[tuː]		123	 two tool	"Depending how you use it, too can mean two slightly different things: ""excessively"" (""Human beings are too weird"") or ""also"" (""I think so too — let's go back to Mars."")"					0	-2147483648	-2147483648	-2147483648	0
feel	[fiːl]		124	 flee feed fuel fee heel peel reel	If you put your hand on someone's arm, they will feel your touch; if you give them a piece of really bad news, they will feel sad. Feel means to be aware of a physical or emotional sensation.					0	-2147483648	-2147483648	-2147483648	0
three	[θriː]		125	 there tree thee						0	-2147483648	-2147483648	-2147483648	0
state	[steɪt]		126	 taste estate statue stage stare stake skate slate stale statute stature	State can be a condition — like solid, liquid, or gas, or even sad or happy. It can also be a state as in Idaho or New York. To state is to say something.					0	-2147483648	-2147483648	-2147483648	0
never	['nevə(r)]		127	 nerve ever fever lever sever	"The adverb never means ""at no time,"" or ""not at all."" If you're never going to win a Monopoly game against your brother, you won't beat him next week, next year, or when you're both 80 years old."					0	-2147483648	-2147483648	-2147483648	0
December			127							0	-2147483648	-2147483648	-2147483648	0
become	[bɪ'kʌm]		128		To become is to evolve, change into, or emerge as something. A fertilized egg will hatch and the tiny chick will become a full-grown chicken.					0	-2147483648	-2147483648	-2147483648	0
between	[bɪ'twiːn]		129		To be between two things is to be in the middle. In a picture, if you are between your sisters, one is on your left and the other is on your right.					0	-2147483648	-2147483648	-2147483648	0
high	[haɪ]		130	 hi thigh sigh	Use the adjective high to describe something with a great elevation. If you want to see a really high mountain, you should visit Mount Everest.					0	-2147483648	-2147483648	-2147483648	0
really	['riːəli]		131	 rally reality readily ideally	The adverb really refers to something actual or genuine. If your ring is really pure gold, does that mean he really likes you?					0	-2147483648	-2147483648	-2147483648	0
something	['sʌmθɪŋ]		132	 soothing						0	-2147483648	-2147483648	-2147483648	0
most	[məʊst]		133	 moist must cost host post lost mist moss						0	-2147483648	-2147483648	-2147483648	0
another	[ə'nʌðə(r)]		134	 other mother brother bother	Another is a word used to describe an alternative. If your first bowling ball lands in the gutter, give it another try before you give up completely.					0	-2147483648	-2147483648	-2147483648	0
much	[mʌtʃ]		135	 such						0	-2147483648	-2147483648	-2147483648	0
family	['fæməli]		136		"If you say, ""my family — they're crazy,"" you're probably talking about a group of people who are related to you by blood or marriage. Sometimes the word family specifically means a group of parents and children, so you could be referring to your crazy parents or kids."					0	-2147483648	-2147483648	-2147483648	0
own	[əʊn]		137	 now down town gown	If you own something, it belongs to you. You can use the verb own to describe possession of any kind of property, ranging from a saucepan to a fancy mansion.					0	-2147483648	-2147483648	-2147483648	0
leave	[liːv]		138	 weave lease heave	To leave is to go away or exit. You can leave the country, the house, or a job.					0	-2147483648	-2147483648	-2147483648	0
put	[pʊt]		139	 putt	The verb put refers to placement. You can put things down, put ideas into words, and put up money (that is, invest it).					0	-2147483648	-2147483648	-2147483648	0
old	[əʊld]		140	 hold cold gold fold bold mold	Use the adjective old to describe someone who's been alive for a long time. When you're 30, 60 seems old, and when you're 60, 90 seems old. When you're 90, face it, you're old!					0	-2147483648	-2147483648	-2147483648	0
while	[waɪl]		141	 awhile white whole whale whine chile whistle	"While describes a length of time. If you were describing a first date, you might say, ""We sat there for a while in an incredibly awkward silence."""					0	-2147483648	-2147483648	-2147483648	0
dollar			141	 collar						0	-2147483648	-2147483648	-2147483648	0
mean	[miːn]		142	 name means meant man lean meal meat bean dean moan	"If you got a fortune cookie with the message ""Your future will contain many bananas,"" you might ask, ""What on earth does that mean?"" In other words, you wonder what the intention or meaning of the fortune might be."					0	-2147483648	-2147483648	-2147483648	0
keep	[kiːp]		143	 peek deep weep keen seep	To keep means to have and hold on to something — like to keep your wallet in your pocket. It also means to continue; if you keep hula hooping you’ll break the world record!					0	-2147483648	-2147483648	-2147483648	0
student	['stjuːdnt]		144	 prudent stunt						0	-2147483648	-2147483648	-2147483648	0
why	[waɪ]		145							0	-2147483648	-2147483648	-2147483648	0
let	[let]		146	 left lest	To let is to allow or permit. If you don't prevent your little brother from jumping off the roof into a pile of leaves, you let him do it.					0	-2147483648	-2147483648	-2147483648	0
great	[ɡreɪt]		147	 grate treat greet greatly greater	As an adjective great describes things that are very good, large, or important — like a great movie, a great forest, or a great battle that changed the course of a war.					0	-2147483648	-2147483648	-2147483648	0
same	[seɪm]		148	 seam shame some game name save safe sale sake fame sage sane lame						0	-2147483648	-2147483648	-2147483648	0
big	[bɪɡ]		149		Something big is just plain large or important. A big class has a lot of kids. A big room is larger than average. A big newspaper story is one that makes the front page.					0	-2147483648	-2147483648	-2147483648	0
group	[ɡruːp]		150		A group is an organization of people or things, like a reading group at a public library that holds book discussions every month.					0	-2147483648	-2147483648	-2147483648	0
begin	[bɪ'ɡɪn]		151	 being	To begin is to start. When it begins to snow, every flake looks pretty, drifting gently down from the dark sky.					0	-2147483648	-2147483648	-2147483648	0
seem	[siːm]		152	 seam see seek seed stem deem seep	"Seem means ""to give a certain impression,"" usually by physical appearance like your messy hair and wrinkled clothing that made it seem like you just rolled out of bed."					-8586108508605197815	144	1	2	-8586109460258993837
country	['kʌntri]		153	 county counter Count	A country is a nation, a body of land with one government. Also, rural areas outside cities and towns are called the country.					0	-2147483648	-2147483648	-2147483648	0
help	[help]		154	 hell heap helm	The verb help means to give aid or assistance to. You can help your friend organize a car wash at school by making posters and putting them up all over town.					0	-2147483648	-2147483648	-2147483648	0
talk	[tɔːk]		155	 torque stalk walk task tall tank tale tack balk	When you open your mouth and say something, you talk. You tell someone something, or have a conversation, or exchange information. A speech can also be called a talk.					0	-2147483648	-2147483648	-2147483648	0
where	[weə(r)]		156	 wear there here whore whereas nowhere whereby						0	-2147483648	-2147483648	-2147483648	0
turn	[tɜːn]		157	 burn turf Turk torn						0	-2147483648	-2147483648	-2147483648	0
problem	['prɒbləm]		158		If you are facing something that will be difficult to handle, you have a problem on your hands. A problem is a roadblock in a situation, something that sets up a conflict and forces you to find a resolution.					0	-2147483648	-2147483648	-2147483648	0
every	['evri]		159	 very ever	Use the adjective every to talk about all examples of something or all the members of a group. If you invite every classmate to your party, you're asking all 30 of them to come.					0	-2147483648	-2147483648	-2147483648	0
start	[stɑːt]		160	 star stare smart stark tart starter startle	The beginning of something is the start. The start of the movie may have been a little slow, but by the end you were on the edge of your seat.					0	-2147483648	-2147483648	-2147483648	0
hand	[hænd]		161	 handy and hard land hang band sand	Your hand is the appendage with fingers at the end of your arm. When you clap your hands, you loudly smack their palms together to express your appreciation and enthusiasm.					0	-2147483648	-2147483648	-2147483648	0
might	[maɪt]		162	 mighty right night light fight eight sight tight	Might is physical strength or power. If you try with all your might to climb a difficult rock wall, it means that you try as hard as you can to get to the top.					0	-2147483648	-2147483648	-2147483648	0
American	[ə'merɪkən]		163	 African						0	-2147483648	-2147483648	-2147483648	0
show	[ʃəʊ]		164	 how shot shop shoe slow snow sow	Remember show and tell? To show something is to display something, to share it, or to put on a little show about it.					0	-2147483648	-2147483648	-2147483648	0
part	[pɑːt]		165	 trap party apart art past park pant port cart pat par pact dart para tart						0	-2147483648	-2147483648	-2147483648	0
against	[ə'ɡenst]		166	 again						0	-2147483648	-2147483648	-2147483648	0
such	[sʌtʃ]		168	 much suck						0	-2147483648	-2147483648	-2147483648	0
again	[ə'ɡen]		169	 gain against	When you repeat something or it happens more than once, it happens again. Every morning you wake up again.					0	-2147483648	-2147483648	-2147483648	0
few	[fjuː]		170		Few is a word for a small, non-specific number. A few is somewhere between a couple and a whole bunch.					0	-2147483648	-2147483648	-2147483648	0
case	[keɪs]		171	 cause chase cease caste care base cash cast cake ease cave cage cane cafe vase cape	"A case is a specific instance or example of something. Your teacher might say, ""In your case, I think you should go right into the calculus class."""					0	-2147483648	-2147483648	-2147483648	0
week	[wiːk]		172	 weak seek weed weep peek						0	-2147483648	-2147483648	-2147483648	0
company	['kʌmpəni]		173	 accompany compare comply compact compass	Company most often implies a group, whether it be a group of people, a unit of firefighters, a small group of soldiers, or a group working for the same business.					0	-2147483648	-2147483648	-2147483648	0
system	['sɪstəm]		174	 systemic	A system is a group of things that connect and form some kind of coherent whole. All the individual buses and the separate routes they take through your city are together called a bus system.					0	-2147483648	-2147483648	-2147483648	0
each	[iːtʃ]		175	 ache reach teach beach peach etch	Use the adjective each when every separate person or thing in a group is considered individually, one by one or piece by piece. If all the guests at your party will go home with a goody bag, you can say that each person will get one.					0	-2147483648	-2147483648	-2147483648	0
right	[raɪt]		176	 write rite bright might night light fight eight sight tight upright rightly	Right is a direction, the opposite of left. Most people are right-handed. Right is also correct: the opposite of wrong.					0	-2147483648	-2147483648	-2147483648	0
program	['prəʊɡræm]		177	 programme programmer	A program is a sequence or plan. At your niece's dance recital you may be dismayed to discover that her piece is 19th on the program. Settle in!					0	-2147483648	-2147483648	-2147483648	0
hear	[hɪə(r)]		178	 here heart shear her year head wear near fear heat ear bear tear gear dear rear heal heir pear heap	When you hear, you perceive a noise made by someone or something — like a person’s voice, the song of a bird, or the torturous sound of a ticking clock on a sleepless night.					0	-2147483648	-2147483648	-2147483648	0
question	['kwestʃən]		179	 questioning	"How am I doing so far? ""What time is it?"" These are questions, in other words — sentences designed to get information from someone. Do you understand this definition?"					0	-2147483648	-2147483648	-2147483648	0
February			179							0	-2147483648	-2147483648	-2147483648	0
during	['djʊərɪŋ]		180	 daring enduring						0	-2147483648	-2147483648	-2147483648	0
play	[pleɪ]		181	 pay plan lay pray clay	A play is a dramatic work that's written to be staged in a theater and in front of an audience. Your city might offer a free Shakespeare play in the park every year.					0	-2147483648	-2147483648	-2147483648	0
government	['ɡʌvənmənt]		182	 governmental	Your government is the system of people, laws, and officials that define and control the country that you live in. The U.S. government, for example, is a representative democracy with three branches.					0	-2147483648	-2147483648	-2147483648	0
run	[rʌn]		183	 ruin	When you run, you move along quickly, and for a long time if you're running a marathon. You can also run a campaign or a business — you make them function.					0	-2147483648	-2147483648	-2147483648	0
small	[smɔːl]		184	 shall smell mall stall	Things that are small are little. Children, lower-case letters, lady bugs, and thumb tacks are all small.					0	-2147483648	-2147483648	-2147483648	0
number	['nʌmbə(r)]		185	 lumber	When you consider any amount or measurement, you use a number, like 1, 2, 3, 75, or 998,837,211.					0	-2147483648	-2147483648	-2147483648	0
off	[ɒf]		186		The adverb off means away or distant. You might run off from the dinner table after an argument with your family about what to watch on TV later.					0	-2147483648	-2147483648	-2147483648	0
always	['ɔːlweɪz]		187		To always do something is to never stop doing it, or to do it every time. Some people believe that if you always say “please” and “thanks,” everyone will love you. They’re wrong, but still — say “please” and “thanks.”					0	-2147483648	-2147483648	-2147483648	0
